tfidf,idf,tf,uri
0.00153,8.8061,0.01347,http://www.salon.com/2015/02/01/football_an_american_tragedy/
0.00402,8.8061,0.03540,http://theinsideleak.com/hillary-clinton-at-bernie-sanders-you-got-something-to-say-say-it/
0.00126,8.8061,0.01109,http://www.theguardian.com/commentisfree/2015/oct/14/womens-issues-clinton-agenda-not-at-debate
0.00314,8.8061,0.02765,http://www.salon.com/2016/01/12/emails_expose_close_ties_between_hillary_clinton_and_accused_war_criminal_henry_kissinger/
0.01282,8.8061,0.11289,http://www.weaselzippers.us/255295-debbie-wasserman-schultzs-completely-un-self-aware-tweet/
0.00358,8.8061,0.03152,http://Berniecare.org
0.00081,8.8061,0.00713,http://www.nybooks.com/daily/2016/01/30/clinton-system-donor-machine-2016-election/
0.00285,8.8061,0.02509,http://www.motherjones.com/politics/2016/02/record-number-exonerations-2015
0.00191,8.8061,0.01681,https://newrepublic.com/article/129047/bernies-army-running-congress
0.00074,8.8061,0.00651,http://therealnews.com/t2/index.php?option=com_content&task=view&id=31&Itemid=74&jumival=15580
